Date,MSTR_Close,BTC-USD_Close,BTC_Purchased,Total_BTC,Total_Investment_USD,Total_Assets,Total_Liabilities,Gross_Profit,MSTR_Market_Cap_USD,BTC_Holdings_Value_USD,BTC_to_Market_Cap_Ratio,Financial_Leverage_Ratio,Net_Assets_USD,BTC_to_Net_Assets_Ratio,Gross_Profit_Margin,Year
2020-09-09,14.0,10242,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2582875578.0,219739326.0,0.08508,,,,0.03368,2020
2020-09-10,13.0,10363,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2556708358.0,222330777.0,0.08696,,,,0.03403,2020
2020-09-11,14.0,10400,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2582509628.0,223141231.0,0.0864,,,,0.03369,2020
2020-09-12,14.0,10442,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2582509628.0,224026334.0,0.08675,,,,0.03369,2020
2020-09-13,14.0,10323,21454.0,21454.0,250000000.0,,375000000.0,87000000.0,2582509628.0,221485858.0,0.08576,,,,0.03369,2020
2020-09-14,14.0,10680,16796.0,38250.0,425000000.0,,375000000.0,87000000.0,2609774871.0,408542049.0,0.1565,,,,0.03334,2020
2020-09-15,15.0,10796,16796.0,38250.0,425000000.0,,375000000.0,87000000.0,2850038065.0,412983382.0,0.1449,,,,0.03053,2020
2020-09-16,17.0,10974,16796.0,38250.0,425000000.0,,375000000.0,87000000.0,3200460078.0,419790126.0,0.1312,,,,0.02718,2020
2020-09-17,16.0,10948,16796.0,38250.0,425000000.0,,375000000.0,87000000.0,2993866679.0,418798876.0,0.1399,,,,0.02906,2020
2020-09-18,15.0,10944,16796.0,38250.0,425000000.0,,375000000.0,87000000.0,2920305424.0,418630412.0,0.1434,,,,0.02979,2020
2020-09-19,15.0,11094,16796.0,38250.0,425000000.0,,375000000.0,87000000.0,2920305424.0,424358760.0,0.1453,,,,0.02979,2020
2020-09-20,15.0,10938,16796.0,38250.0,425000000.0,,375000000.0,87000000.0,2920305424.0,418388884.0,0.1433,,,,0.02979,2020
2020-09-21,15.0,10462,16796.0,38250.0,425000000.0,,375000000.0,87000000.0,2784345335.0,400181436.0,0.1437,,,,0.03125,2020
2020-09-22,15.0,10538,16796.0,38250.0,425000000.0,,375000000.0,87000000.0,2822589934.0,403096093.0,0.1428,,,,0.03082,2020
2020-09-23,14.0,10246,16796.0,38250.0,425000000.0,,375000000.0,87000000.0,2713346076.0,391916634.0,0.1444,,,,0.03206,2020
2020-09-24,14.0,10760,16796.0,38250.0,425000000.0,,375000000.0,87000000.0,2672722718.0,411572540.0,0.154,,,,0.03255,2020
2020-09-25,14.0,10692,16796.0,38250.0,425000000.0,,375000000.0,87000000.0,2674003628.0,408996417.0,0.153,,,,0.03254,2020
2020-09-26,14.0,10750,16796.0,38250.0,425000000.0,,375000000.0,87000000.0,2674003628.0,411215178.0,0.1538,,,,0.03254,2020
2020-09-27,14.0,10775,16796.0,38250.0,425000000.0,,375000000.0,87000000.0,2674003628.0,412154059.0,0.1541,,,,0.03254,2020
2020-09-28,15.0,10709,16796.0,38250.0,425000000.0,,375000000.0,87000000.0,2771536231.0,409644202.0,0.1478,,,,0.03139,2020
2020-09-29,14.0,10844,16796.0,38250.0,425000000.0,,375000000.0,87000000.0,2739147346.0,414807503.0,0.1514,,,,0.03176,2020
2020-09-30,15.0,10784,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,2755067283.0,412506788.0,0.1497,,,,0.03847,2020
2020-10-01,14.0,10619,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,2725789231.0,406194044.0,0.149,,,,0.03889,2020
2020-10-02,14.0,10575,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,2680042231.0,404531028.0,0.1509,,,,0.03955,2020
2020-10-03,14.0,10549,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,2680042231.0,403511838.0,0.1506,,,,0.03955,2020
2020-10-04,14.0,10669,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,2680042231.0,408111550.0,0.1523,,,,0.03955,2020
2020-10-05,14.0,10793,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,2712065166.0,412845249.0,0.1522,,,,0.03908,2020
2020-10-06,15.0,10604,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,2745551898.0,405618539.0,0.1477,,,,0.03861,2020
2020-10-07,15.0,10668,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,2801363294.0,408088054.0,0.1457,,,,0.03784,2020
2020-10-08,16.0,10915,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,2999905107.0,417524972.0,0.1392,,,,0.03533,2020
2020-10-09,16.0,11064,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3014361245.0,423215518.0,0.1404,,,,0.03516,2020
2020-10-10,16.0,11296,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3014361245.0,432085820.0,0.1433,,,,0.03516,2020
2020-10-11,16.0,11384,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3014361245.0,435444947.0,0.1445,,,,0.03516,2020
2020-10-12,16.0,11555,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3046018231.0,441992645.0,0.1451,,,,0.0348,2020
2020-10-13,16.0,11425,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3039064667.0,437040652.0,0.1438,,,,0.03488,2020
2020-10-14,16.0,11429,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3005394872.0,437178636.0,0.1455,,,,0.03527,2020
2020-10-15,16.0,11495,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3037051858.0,439697122.0,0.1448,,,,0.0349,2020
2020-10-16,16.0,11322,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3013812234.0,433071206.0,0.1437,,,,0.03517,2020
2020-10-17,16.0,11358,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3013812234.0,434447384.0,0.1442,,,,0.03517,2020
2020-10-18,16.0,11483,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3013812234.0,439238496.0,0.1457,,,,0.03517,2020
